date,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,Total Incidents,dateforreal
04/30/2013,23:55:00,6E,1600 ST STEPHENS ST,LARCENY,O,,813.0,SOUTHWESTERN,Northwest Community Actio,-76.66656,39.30675,"(39.3067500000, -76.6665600000)",STREET,1,2013-04-30
04/30/2013,23:20:00,4E,1700 LINDEN AV,COMMON ASSAULT,O,HANDS,132.0,CENTRAL,Bolton Hill,-76.62911,39.30791,"(39.3079100000, -76.6291100000)",STREET,1,2013-04-30
04/30/2013,23:00:00,5A,1300 ST PAUL ST,BURGLARY,I,,141.0,CENTRAL,Mid-Town Belvedere,-76.61449,39.3047,"(39.3047000000, -76.6144900000)",APT/CONDO,1,2013-04-30
04/30/2013,23:00:00,7A,2900 WINCHESTER ST,AUTO THEFT,O,,814.0,SOUTHWESTERN,Franklintown Road,-76.66662,39.30127,"(39.3012700000, -76.6666200000)",STREET,1,2013-04-30
04/30/2013,23:00:00,5D,2700 HARLEM AV,BURGLARY,I,,721.0,WESTERN,Mosher,-76.66253,39.29551,"(39.2955100000, -76.6625300000)",RETAIL/SMA,1,2013-04-30
04/30/2013,22:15:00,6G,800 GUILFORD AV,LARCENY,I,,142.0,CENTRAL,Mount Vernon,-76.61164000000001,39.29905,"(39.2990500000, -76.6116400000)",CARRY OUT,1,2013-04-30
04/30/2013,21:30:00,4B,5200 ST CHARLES AV,AGG. ASSAULT,O,KNIFE,633.0,NORTHWESTERN,Arlington,-76.68395,39.345240000000004,"(39.3452400000, -76.6839500000)",YARD,1,2013-04-30
04/30/2013,21:30:00,5A,3400 FAIRVIEW AV,BURGLARY,I,,642.0,NORTHWESTERN,Forest Park,-76.6748,39.321870000000004,"(39.3218700000, -76.6748000000)",APT/CONDO,1,2013-04-30
04/30/2013,21:30:00,7A,4100 DORIS AV,AUTO THEFT,O,,913.0,SOUTHERN,Brooklyn,-76.60306,39.22955,"(39.2295500000, -76.6030600000)",STREET,1,2013-04-30
04/30/2013,21:11:00,3B,5100 SINCLAIR LA,ROBBERY - STREET,O,,443.0,NORTHEASTERN,Frankford,-76.54725,39.32223,"(39.3222300000, -76.5472500000)",STREET,1,2013-04-30
04/30/2013,21:00:00,6J,3900 KIMBLE RD,LARCENY,O,,412.0,NORTHEASTERN,Ednor Gardens-Lakeside,-76.60105,39.335370000000005,"(39.3353700000, -76.6010500000)",YARD,1,2013-04-30
04/30/2013,21:00:00,6J,500 W 27TH ST,LARCENY,I,,511.0,NORTHERN,Remington,-76.6233,39.3192,"(39.3192000000, -76.6233000000)",OTHER - IN,1,2013-04-30
04/30/2013,21:00:00,6D,300 CATHEDRAL ST,LARCENY FROM AUTO,O,,111.0,CENTRAL,Downtown,-76.61674000000001,39.29364,"(39.2936400000, -76.6167400000)",STREET,1,2013-04-30
