date,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,Total Incidents,dateforreal
05/31/2012,23:15:00,4C,500 S PULASKI ST,AGG. ASSAULT,I,OTHER,934.0,SOUTHWESTERN,Carrollton Ridge,-76.64888,39.28078,"(39.2807800000, -76.6488800000)",UNKNOWN,1,2012-05-31
05/31/2012,23:14:00,3NK,4300 HAYWARD AV,ROBBERY - STREET,O,KNIFE,623.0,NORTHWESTERN,Woodmere,-76.69249,39.34345,"(39.3434500000, -76.6924900000)",SUBWAY,1,2012-05-31
05/31/2012,23:00:00,4A,1600 PUMPHREY ST,AGG. ASSAULT,O,FIREARM,243.0,SOUTHEASTERN,Broening Manor,-76.5384,39.27438,"(39.2743800000, -76.5384000000)",STREET,1,2012-05-31
05/31/2012,23:00:00,6C,500 S BROADWAY,LARCENY,I,,213.0,SOUTHEASTERN,Fells Point,-76.5936,39.28533,"(39.2853300000, -76.5936000000)",CONVENIENC,1,2012-05-31
05/31/2012,23:00:00,6D,100 W FAYETTE ST,LARCENY FROM AUTO,I,,111.0,CENTRAL,Downtown,-76.61695,39.29036,"(39.2903600000, -76.6169500000)",PARKING LO,1,2012-05-31
05/31/2012,22:50:00,7A,6100 PARKWAY DR,AUTO THEFT,O,,522.0,NORTHERN,Lake Walker,-76.60154,39.368629999999996,"(39.3686300000, -76.6015400000)",STREET,1,2012-05-31
05/31/2012,22:45:00,4E,4500 MARX AV,COMMON ASSAULT,I,HANDS,443.0,NORTHEASTERN,Frankford,-76.55533,39.32946,"(39.3294600000, -76.5553300000)",ROW/TOWNHO,1,2012-05-31
05/31/2012,22:30:00,4F,4200 MORRISON CT,ASSAULT BY THREAT,O,,911.0,SOUTHERN,Curtis Bay,-76.58800000000001,39.22756,"(39.2275600000, -76.5880000000)",STREET,1,2012-05-31
05/31/2012,22:30:00,4F,4200 MORRISON CT,ASSAULT BY THREAT,O,,911.0,SOUTHERN,Curtis Bay,-76.58800000000001,39.22756,"(39.2275600000, -76.5880000000)",STREET,1,2012-05-31
05/31/2012,22:30:00,4F,4200 MORRISON CT,ASSAULT BY THREAT,O,,911.0,SOUTHERN,Curtis Bay,-76.58800000000001,39.22756,"(39.2275600000, -76.5880000000)",STREET,1,2012-05-31
