date,incidents
01/01/2012,176
01/01/2013,157
01/01/2014,140
01/01/2015,157
01/01/2016,153
01/01/2017,144
01/02/2012,105
01/02/2013,107
01/02/2014,114
01/02/2015,109
01/02/2016,113
01/02/2017,145
01/03/2012,99
01/03/2013,112
01/03/2014,71
01/03/2015,77
01/03/2016,109
01/03/2017,124
01/04/2012,121
01/04/2013,152
01/04/2014,121
01/04/2015,97
01/04/2016,109
01/04/2017,145
01/05/2012,131
01/05/2013,121
01/05/2014,103
01/05/2015,119
01/05/2016,126
01/05/2017,147
01/06/2012,126
01/06/2013,113
01/06/2014,118
01/06/2015,91
01/06/2016,120
01/06/2017,132
01/07/2012,122
01/07/2013,124
01/07/2014,84
01/07/2015,108
01/07/2016,141
01/07/2017,121
01/08/2012,109
01/08/2013,121
01/08/2014,122
01/08/2015,86
01/08/2016,161
01/08/2017,96
01/09/2012,107
01/09/2013,123
01/09/2014,134
01/09/2015,102
01/09/2016,132
01/09/2017,118
01/10/2012,132
01/10/2013,138
01/10/2014,143
01/10/2015,86
01/10/2016,114
01/10/2017,163
01/11/2012,113
01/11/2013,150
01/11/2014,110
01/11/2015,91
01/11/2016,117
01/11/2017,157
01/12/2012,112
01/12/2013,118
01/12/2014,104
01/12/2015,128
01/12/2016,144
01/12/2017,168
01/13/2012,124
01/13/2013,133
01/13/2014,129
01/13/2015,135
01/13/2016,109
01/13/2017,146
01/14/2012,119
01/14/2013,129
01/14/2014,140
01/14/2015,128
01/14/2016,135
01/14/2017,105
01/15/2012,99
01/15/2013,143
01/15/2014,137
01/15/2015,145
01/15/2016,124
01/15/2017,132
01/16/2012,95
01/16/2013,121
01/16/2014,138
01/16/2015,138
01/16/2016,120
01/16/2017,132
01/17/2012,137
01/17/2013,123
01/17/2014,138
01/17/2015,127
01/17/2016,131
01/17/2017,165
01/18/2012,146
01/18/2013,131
01/18/2014,103
01/18/2015,118
01/18/2016,103
01/18/2017,127
01/19/2012,128
01/19/2013,106
01/19/2014,107
01/19/2015,140
01/19/2016,130
01/19/2017,156
01/20/2012,134
01/20/2013,129
01/20/2014,134
01/20/2015,124
01/20/2016,97
01/20/2017,194
01/21/2012,104
01/21/2013,114
01/21/2014,81
01/21/2015,129
01/21/2016,104
01/21/2017,154
01/22/2012,112
01/22/2013,105
01/22/2014,111
01/22/2015,118
01/22/2016,101
01/22/2017,112
01/23/2012,155
01/23/2013,108
01/23/2014,112
01/23/2015,139
01/23/2016,33
01/23/2017,149
01/24/2012,129
01/24/2013,97
01/24/2014,120
01/24/2015,126
01/24/2016,46
01/24/2017,138
01/25/2012,130
01/25/2013,116
01/25/2014,116
01/25/2015,91
01/25/2016,68
01/25/2017,163
01/26/2012,111
01/26/2013,113
01/26/2014,108
01/26/2015,114
01/26/2016,74
01/26/2017,153
01/27/2012,128
01/27/2013,135
01/27/2014,132
01/27/2015,136
01/27/2016,91
01/27/2017,160
01/28/2012,153
01/28/2013,141
01/28/2014,98
01/28/2015,122
01/28/2016,97
01/28/2017,178
01/29/2012,133
01/29/2013,97
01/29/2014,106
01/29/2015,118
01/29/2016,103
01/29/2017,146
01/30/2012,120
01/30/2013,121
01/30/2014,144
01/30/2015,126
01/30/2016,96
01/30/2017,137
01/31/2012,128
01/31/2013,115
