Timestamp,What is your main study profile?,What aspect of Data Visualization is most interesting to you?,How much effort do you intend to invest into this subject? ,Your age (in years),Your height (in cm),Your starsign,Your continent,How many cousins do you have?,Do you like spicy food?,
2017/09/01 12:22:32 PM GMT+2,Software Engineering,exploring/analysing,8,19,178,Cancer,Europe,0,neutral,Option 1
2017/09/01 12:23:13 PM GMT+2,Technology,designing and storytelling,7,20,182,Scorpio,Europe,12,neutral,Option 1
2017/09/01 12:23:20 PM GMT+2,Software Engineering,(web) programming,8,21,197,Cancer,Europe,19,neutral,Option 1
2017/09/01 12:26:08 PM GMT+2,Mathematics,designing and storytelling,8,23,183,Aquarius,Europe,27,Yes,
2017/09/01 12:37:12 PM GMT+2,Technology,exploring/analysing,10,23,180,Virgo,Europe,0,neutral,
2017/09/01 12:38:13 PM GMT+2,Software Engineering,exploring/analysing,9,21,195,Gemini,Europe,6,Yes,Option 1
2017/09/01 12:38:13 PM GMT+2,Software Engineering,(web) programming,8,20,183,Taurus,Europe,9,Yes,
2017/09/01 12:39:52 PM GMT+2,Bussiness,exploring/analysing,10,26,191,Aries,Europe,8,Yes,Option 1
2017/09/01 12:54:17 PM GMT+2,Technology,exploring/analysing,10,20,180,Pisces,Europe,14,Yes,
2017/09/01 12:56:34 PM GMT+2,Software Engineering,(web) programming,6,24,178,Scorpio,Europe,4,Yes,Option 1
2017/09/01 12:56:51 PM GMT+2,Software Engineering,(web) programming,8,28,160,i have no idea,Asia,20,neutral,
2017/09/01 1:12:43 PM GMT+2,Software Engineering,(web) programming,7,25,182,Scorpio,Europe,5,neutral,
2017/09/01 1:13:49 PM GMT+2,Software Engineering,exploring/analysing,10,24,181,Libra,Europe,3,Yes,
2017/09/01 1:15:54 PM GMT+2,Software Engineering,(web) programming,10,26,167,Scorpio,South-America,10,neutral,Option 1
2017/09/01 1:44:58 PM GMT+2,Software Engineering,exploring/analysing,7,24,181,i have no idea,Europe,1,Yes,
2017/09/01 2:00:01 PM GMT+2,Software Engineering,exploring/analysing,9,21,179,i have no idea,Europe,8,neutral,Option 1
2017/09/01 6:48:32 PM GMT+2,Software Engineering,(web) programming,8,22,175,Sagittarius,South-America,,No,
